timestamp	commit	baseline_s_per_lead	new_s_per_lead	delta_pct	status	description
2026-03-22T08:07:17Z	b1f475c	3.854	N/A	N/A	skip	Claude error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZHmvdzSdbrJkGAiWf8DS'}
2026-03-22T08:11:25Z	8e42019	15.547	N/A	N/A	skip	Claude error: Error code: 401 - {'error': {'code': 'unauthorized', 'message': 'The `models` permission is required to access this endpoint', 'details': 'The `models` permission is required to access this endpoint'}}
2026-03-22T08:16:58Z	6b39014	3.600	N/A	N/A	skip	Claude error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.3-70b-versatile` in organization `org_01kma9q521ejvvbh9rx2h8nv8x` service tier `on_demand` on tokens per minute (TPM): Limit 12000, Requested 17455, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-03-22T08:19:56Z	367e307	7.830	N/A	N/A	skip	Claude error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.3-70b-versatile` in organization `org_01kma9q521ejvvbh9rx2h8nv8x` service tier `on_demand` on tokens per minute (TPM): Limit 12000, Requested 12361, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-03-22T08:21:50Z	2cc9eda	7.364	N/A	N/A	skip	Claude error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kma9q521ejvvbh9rx2h8nv8x` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 12361, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-03-22T08:27:19Z	46de2ec	2.766	N/A	N/A	skip	Claude error: Invalid control character at: line 1 column 46 (char 45)
2026-03-22T08:30:21Z	bff6c3e	14.639	11.383	-22.2%	keep	changed ['leadgen/pipeline.py']
2026-03-22T08:36:00Z	d9e1331	7.525	N/A	N/A	skip	Claude error: Extra data: line 1 column 14082 (char 14081)
2026-03-22T08:40:22Z	1b20bb3	10.849	N/A	N/A	skip	syntax error: invalid syntax (<unknown>, line 2)
2026-03-22T09:03:49Z	5401b5e	2.870	N/A	N/A	skip	Claude error: Expecting ',' delimiter: line 1 column 49 (char 48)
2026-03-22T13:56:11Z	b4f83fc	3.669	N/A	N/A	skip	syntax error: expected an indented block after function definition on line 51 (<unknown>, line 52)
